IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1002-81-LQ23;RETIRO DE RESIDUOS PELIGROSOS;LQ;Adjudicada a uno o varios proveedores;19/10/2023 14:01:21;SERVICIO DE TRANSPORTE, SEGREGACION, ROTULADO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS, EN LAS DEPENDENCIAS DE LA PROV. DE LLANQUIHUE, CHILOE, OSORNO Y PALENA, REGIÓN DE LOS LAGOS.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 2.000 UTM e inferior a 5.000 UTM ;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
3679-9-LE23;SERVICIO DE RETIRO RESIDUOS REAS CESFAM ;LE;Adjudicada a uno o varios proveedores;17/03/2023 17:09:40;SE REQUIERE CONTRATAR CON EL SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE LOS RESIDUOS PELIGROSOS ACUMULADOS EN LOS ESTABLECIMIENTOS DEPENDIENTES DEL DEPARTAMENTO DE SALUD DE SAN ESTEBAN.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE SAN ESTEBAN
1057508-40-LR21;CONVENIO SERVICIO DE RETIRO Y DISPOSICIÓN FINAL RESIDUOS PELIGROSOS/ESPECIALES, PARA SERVICIO DE SALUD ÑUBLE Y ESTABLECIMIENTOS DEPENDIENTES;LR;Adjudicada a uno o varios proveedores;28/05/2021 14:55:00;El Servicio de Salud Ñuble requiere suscribir convenio de servicio de retiro y disposición final de residuos peligrosos y especiales, para establecimientos dependientes del Servicio de Salud Ñuble, con el objetivo de que una empresa especializada en el rubro de residuos hospitalarios, particularmente los que tienen relación con el manejo, transporte y disposición final de residuos tales como, desechos químicos, biológicos/orgánicos, corto punzantes, y que utilicen para esto la mejor tecnología, dando cumplimento a todas las normativas y autorizaciones que la Seremi de Salud y Ministerio de Medio Ambiente, de acuerdo a requerimientos especificados en Bases Administrativas y Técnicas de la presente licitación.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 5.000 UTM;SERVICIO DE SALUD NUBLE
4083-15-LP22;SERVICIO DE RETIRO TRANSPORTE Y ELIMINACIÓN REAS;LP;Adjudicada a uno o varios proveedores;26/05/2022 17:01:11;De acuerdo a la clasificación del Artículo 4º y 6º del Decreto Nº 6 de 2009 del Ministerio de Salud, el Departamento de Salud de la Municipalidad de Cabrero, requiere, dentro su funcionamiento, de almacenamiento, retiro, transporte y la correcta eliminación de residuos peligrosos y especiales, según Nota de Pedido Nº1045 del 16-11-2021. Para este efecto se convoca a la presente licitación, con el propósito de contratar el servicio de retiro y eliminación adecuada de residuos peligrosos y especiales, así como también la presentación de un protocolo o procedimiento de recolección de estos residuos.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD DE CABRERO
2863-9-LE25;SERVICIO RETIRO DE REAS ;LE;Adjudicada a uno o varios proveedores;09/12/2025 17:30:00;El Departamento De Salud de la Ilustre Municipalidad De Puerto Octay, en adelante “DESAM”, en el ámbito de ejecución de sus planes y políticas para mejorar la calidad de sus prestaciones de salud que otorga a los beneficiarios de su red asistencial, mediante este acto e instrumento realiza un llamado a Licitación Pública, conforme a los procedimientos que regula la Ley N° 19.886 de Bases Sobre Contratos Administrativos de Suministro de Prestación de Servicios y su Reglamento, requiere realizar la ADQUISICION DE SUMINISTRO DE RETIRO, MANEJO, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES DE LOS ESTABLECIMIENTOS DE SALUD DEL DESAM”, según especificaciones indicadas en estas Bases.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD PUERTO OCTAY
4083-1-LE24;SERVICIO DE RETIRO TRANSPORTE Y ELIMINACION REAS;LE;Adjudicada a uno o varios proveedores;26/01/2024 18:27:48;De acuerdo a la clasificación del Art 4º y 6º del Decreto Nº 6 de 2009 del Ministerio de Salud, el Depto. de Salud de la Municipalidad de Cabrero, requiere, dentro su funcionamiento, de almacenamiento, retiro, transporte y la correcta eliminación de residuos peligrosos y especiales, según NP Nº1200 del 11-01-2023. Para este efecto se convoca a la presente licitación, con el propósito de contratar el servicio de retiro y eliminación adecuada de residuos peligrosos y especiales, así como también la presentación de un protocolo o procedimiento de recolección de estos residuos.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE CABRERO
3679-1-L122;Por servicio de retiro, transporte, tratamiento y disposición final de los residuos peligrosos acumulados en establecimientos dependientes del centro de salud de San Esteban año 2022.;L1;Adjudicada a uno o varios proveedores;12/01/2022 12:19:00;Por servicio de retiro, transporte, tratamiento y disposición final de los residuos peligrosos acumulados en establecimientos dependientes del centro de salud de San Esteban año 2022.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;I MUNICIPALIDAD DE SAN ESTEBAN
3383-2-LE25;SERVICIO DE RETIRO REAS;LE;Adjudicada a uno o varios proveedores;30/04/2025 17:05:50;1.	Que, la Central Odontológica del Ejército, en adelante e indistintamente la COE, es un órgano dependiente de la División de Salud, que requiere contratar el servicio de retiro, transporte, tratamiento y disposición final de residuos peligrosos y especiales, conforme la solicitud de compra N°464 de fecha 22ABR2025, señalado en Visto N°8.;CLP;PUBLICADO;DISPONIBLE;19.700.000;COMANDO DE APOYO A LA FUERZA
1031845-2-LR21;SERVICIO DE MANEJO DE REAS;LR;Adjudicada a uno o varios proveedores;21/04/2021 12:05:36;Se requiere contratar el Servicio de RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL de RESIDUOS PELIGROSOS Y ESPECIALES para los establecimientos dependientes del SERVICIO DE SALUD OHIGGINS, HOSPITAL REGIONAL LIBERTADOR BERNARDO OHIGGINS Y HOSPITAL SAN JUAN DE DIOS DE SAN FERNANDO.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 5.000 UTM;SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS
2887-5-R125;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;03/04/2025 16:50:40;CONVENIO SUMINISTRO SERVICIO RETIRO Y TRANSPORTES MATERIALES- RESIDUOS PELIGROSOS Y CONTAMINADOS, CESFAM ENTRE LAGOS, DEPTO. SALUD PUYEHUE;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE PUYEHUE
2887-5-LE25;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS - Readjudicada en Id 2887-5-R125;LE;Adjudicada a uno o varios proveedores;03/04/2025 16:50:40;CONVENIO SUMINISTRO SERVICIO RETIRO Y TRANSPORTES MATERIALES- RESIDUOS PELIGROSOS Y CONTAMINADOS, CESFAM ENTRE LAGOS, DEPTO. SALUD PUYEHUE;CLP;PUBLICADO;ESTIMADO;23.000.000;I MUNICIPALIDAD DE PUYEHUE
1469-184-L121;“MANEJO, RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES, DE LA UNIVERSIDAD DE TALCA”;L1;Adjudicada a uno o varios proveedores;20/08/2021 18:43:37;La presente licitación tiene por objeto la contratación de un servicio de manejo, retiro, transporte, tratamiento y disposición final de residuos peligrosos y especiales en todos los campus de la Universidad de Talca, por un periodo de 6 meses o hasta la total utilización de los recursos asignados, cualquiera de las circunstancias que se verifique primero, según las características que se han definido en las bases técnicas y anexos;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;UNIVERSIDAD DE TALCA
1057402-36-LE20;RETIRO RESIDUOS PELIGROSOS, ESPECIALES Y PATOLÓGIC;LE;Adjudicada a uno o varios proveedores;21/02/2020 13:46:22;El propósito de la licitación es la contratación del “Servicio de Retiro de Residuos Peligrosos, Especiales y Patológicos del Hospital Clínico de Magallanes” desde el Hospital, de acuerdo a lo establecido en las presentes Bases Administrativas y Técnicas.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Hospital Dr. Lautaro Navarro Avaria
1685-22-L121;Servicio de Retiro, Transporte y Disposición Final de Residuos Peligrosos;L1;Adjudicada a uno o varios proveedores;25/05/2021 17:57:43;La presente Licitación tiene por objeto principal la contratación del Servicio de Retiro, Transporte y Disposición Final de Residuos Peligrosos, desde bodega de acopio Ziem 2440, Temuco y DVI ubicada en Cautín 635, Angol: de  La SEREMI;CLP;PUBLICADO;DISPONIBLE;4.500.000;SUBSECRETARIA DE SALUD PUBLICA
3376-19-LP21;Servicio de retiro de residuos peligrosos;LP;Adjudicada a uno o varios proveedores;18/06/2021 15:43:00;Servicio de retiro de residuos peligrosos;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;COMANDO DE APOYO A LA FUERZA
5394-79-L121;SERVICIO DE RETIRO, TRASLADO Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS REAS, CADI UMAG;L1;Adjudicada a uno o varios proveedores;03/11/2021 17:25:54;La Universidad de Magallanes, requiere contratar el Servicio de Retiro, Traslado y Disposición Final de Residuos Peligrosos (líquidos y sólidos), para el edificio CADI UMAG ubicado en Av. Los Flamencos 01364, Punta Arenas, XII Región de Magallanes, por un total de 870 Kilos.;CLP;PUBLICADO;DISPONIBLE;3.000.000;UNIVERSIDAD DE MAGALLANES
1540-30-LE22;SERVICIO RETIRO Y DISPOSICION RESIDUOS PELIGROSO;LE;Adjudicada a uno o varios proveedores;01/03/2022 17:50:34;servicio de retiro, transporte y disposición final de residuos peligrosos, en atención a la cantidad de residuos generados, ya que se hace imprescindible el manejo y eliminación de estos residuos para dar cumplimiento al D.S. 6 sobre manejo y eliminación de estos residuos de atención de salud y D.S. 148 reglamento sanitario sobre manejo de residuos peligrosos,  por un periodo de 24 Meses;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD MAGALLANES HOSPITAL DE PTO NATALES
3486-42-LE23;RETIRO Y ELIMINACION RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;07/07/2023 15:44:41;Servicio de retiro, transporte y eliminación de residuos peligrosos del Cesfam, Cecosf y postas rurales ( S.P 208);CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE NUEVA IMPERIAL
813-35-LP21;PP 7  servicio trans. tratam Residuos Peligrosos;LP;Adjudicada a uno o varios proveedores;21/04/2021 09:48:00;CONTRATACIÓN DEL SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS DEL INSTITUTO DE SALUD PÚBLICA DE CHILE.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;INSTITUTO DE SALUD PUBLICA DE CHILE
1057532-97-LR20;Servicio de Manejo, Retiro, Transporte y Disposición Final de Residuos peligrosos y Especiales para los establecimiento de la Red del Servicio de Salud Osorno;LR;Adjudicada a uno o varios proveedores;06/11/2020 14:59:05;La presente tiene por objeto proveer durante el año 2021 y 2022, del servicio de manejo, retiro, transporte y disposición final de REAS para los establecimientos de la red del Servicio de Salud Osorno, de acuerdo a la normativa vigente a fin de evitar emergencias sanitarias.;CLP;PUBLICADO;ESTIMADO;390.101.880;SERVICIO DE SALUD OSORNO
5413-161-LE22;SERVICIO RETIRO DE RESIDUOS PELIGROSOS DE LA UNIVERSIDAD DE LOS LAGOS CAMPUS OSORNO PUERTO MONTT Y SEDE CHILOÉ;LE;Adjudicada a uno o varios proveedores;13/09/2022 17:49:00;Universidad de Los Lagos requiere contratar servicio retiro de residuos peligrosos para sus campus Osorno, Puerto Montt y Sede Chiloé. Según SASERVI N°71376.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;UNIVERSIDAD DE LOS LAGOS
1549-153-LE25;SERVICIO DE RETIRO MANEJO TRATAMIENTO Y DISPOSIC;LE;Adjudicada a uno o varios proveedores;23/09/2025 07:33:36;El presente servicio tiene por objeto asegurar una gestión segura, oportuna, trazable y conforme a los estándares técnicos y legales aplicables, de todos los residuos peligrosos derivados de las actividades clínicas y asistenciales, minimizando los riesgos sanitarios y ambientales que su manejo inadecuado podría generar para los pacientes, trabajadores, comunidad y el entorno;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE
3926-48-LE23;CTTO DE PRESTACION DE SERVICIO DE RECOLECCIÓN TRANSPORTE TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS PELIGROSOS DEPTO DE SALUD SAN JUAN DE LA COSTA;LE;Adjudicada a uno o varios proveedores;22/08/2023 09:54:00;CTTO DE PRESTACION DE SERVICIO DE RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS PELIGROSOS DEPTO DE SALUD SAN JUAN DE LA COSTA;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Ilustre Municipalidad de San Juan de la Costa
3178-18-LE21;RETIRO Y ELIMINACIÓN DE RESIDUOS PELIGROSO Y ESPEC;LE;Adjudicada a uno o varios proveedores;17/08/2021 14:33:53;Que, existe la necesidad de contratar el Servicio de Retiro y Eliminación de Residuos Peligrosos y Especiales desde el Hospital Naval “Almirante Adriazola” de Talcahuano y desde el Centro Médico Samar de Concepción, dependiente del Hospital.;CLP;PUBLICADO;DISPONIBLE;48.000.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
1480130-2-L126;PTR N°14 - SERVICIO DE RETIRO TRANSPORTE Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS;L1;Adjudicada a uno o varios proveedores;13/01/2026 08:26:41;SERVICIO DE RETIRO, TRANSPORTE Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS. SEGUN NECESIDAD DEL SERVICIO DENTRO DE AÑO CALENDARIO (6 SERVICIOS). VER MAS DETALLE DE LO REQUERIDO EN BASES DE LICITACION.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE VITACURA
2366-199-LE21;SERVICIO RETIRO TRANSPORTE MEDICAMENTOS VENCIDOS M:153;LE;Adjudicada a uno o varios proveedores;21/02/2022 09:37:00;SERVICIO RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS (MEDICAMENTOS VENCIDOS) M:153;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE ARICA
3926-27-LE21;CTTO DE PRESTACION DE SERVICIO DE RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS PELIGROSOS DEPTO DE SALUD SAN JUAN DE LA COSTA;LE;Adjudicada a uno o varios proveedores;21/07/2021 12:29:03;CTTO DE PRESTACIÓN DE SERVICIO DE RECOLECCIÓN, TRANSPORTE, TRATAMIENTO Y ELIMINACIÓN DE RESIDUOS PELIGROSOS DEPTO. DE SALUD SAN JUAN DE LA COSTA. UBICADO EN EL KM 34 DE LA RUTA U-400, VILLA PUAUCHO, COMUNA DE SAN JUAN DE LA COSTA. ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de San Juan de la Costa
2664-18-LE21;SERVICIO DE DESCONTAMINACION Y ELIMINACION DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;24/05/2021 14:20:05;RETIRO DE RESIDUOS PELIGROSOS DESDE LOS CENTROS DE SALUD Y SPOM DE LA DISAM TOME;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE TOME
3268-130-L121;400 413 GU 19/2021 SERV. DE RETIRO DE TAMBORES DE 200 LITROS CON RESIDUOS PELIGROSOS.;L1;Adjudicada a uno o varios proveedores;26/11/2021 08:44:55;LA PRESENTE LICITACIÓN TIENE EL OBJETO DE ADQUIRIR EL SERVICIO DE RETIRO, TRANSPORTE Y ELIMINACIÓN CERTIFICADA, DE TAMBORES CON RESIDUOS PELIGROSOS, DESDE LA IV BRIGADA AÉREA, BASE AÉREA CHABUNCO, GENERADOS EN LA OPERACIÓN CONJUNTA GLACIAR UNIÓN 2021.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;FUERZA AEREA DE CHILE COMANDO LOGISTICO
1024-2-LE22;CONVENIO RETIRO RESIDUOS PELIGROSOS DRVT;LE;Adjudicada a uno o varios proveedores;07/03/2022 10:17:41;Convenio de Retiro, Transporte y disposición final de residuos peligrosos generados por la Dirección de Vialidad de la Región de Tarapacá.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1116005-24-L120;Servicio de retiro de residuos peligrosos desde el Ap. El Tepual, año 2020.;L1;Adjudicada a uno o varios proveedores;06/08/2020 15:45:34;Se requiere la contratación de los servicios de retiro de residuos peligrosos desde el Aeropuerto El Tepual de Puerto Montt, según Requerimiento N° 60/2020.-  NOTA 1:  EL ANEXO B, ANEXO C Y ANEXO D, SON OBLIGATORIOS Y EXCLUYENTES EN LA PRESENTE LICITACIÓN PUBLICA, AL IGUAL QUE LA RESOLUCIÓN DE LA AUTORIDAD SANITARIA.  NOTA 2: Esta institución realiza una retención del 2% del total facturado, según lo estipulado en el artículo 37 de la Ley N° 16.752, Orgánica de la D.G.A.C.-  ;CLP;PUBLICADO;DISPONIBLE;1.750.000;Dirección General de Aeronáutica Civil
3590-9-L120;RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS;L1;Adjudicada a uno o varios proveedores;07/07/2020 13:21:08;Adquirir un convenio de suministro para el Servicio de Retiro, transporte y disposición final de residuos Especiales y Residuos Peligrosos que se generen en establecimientos dependientes del Departamento de Salud de la Municipalidad de Yungay, de acuerdo a las presentes Bases Administrativas, Especificaciones Técnicas y anexos de la presente propuesta.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Yungay
3145-103-LE20;210  S.A. 11, RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;15/07/2020 14:27:05;210//001// SA 11 SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS, DE LA I BRIGADA AÉREA, EN BASE AÉREA LOS CÓNDORES, CHUCUMATA SN, SECTOR AEROPUERTO CIUDAD DE IQUIQUE.;CLP;PUBLICADO;DISPONIBLE;7.000.000;Fuerza Aérea de Chile
2548-41-LE23;MANEJO RECOLECCION TRANSPORTE Y DISP DE RESIDUOS;LE;Adjudicada a uno o varios proveedores;17/07/2023 17:11:00;CONTRATACIÓN SERVICIOS DE MANEJO, RECOLECCIÓN, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS, RADIOACTIVOS DE BAJA INTENSIDAD Y RESIDUOS ESPECIALES PROVENIENTES DE ESTABLECIMIENTOS URBANOS Y RURALES DEL DEPARTAMENTO DE SALUD DE PADRE LAS CASAS ;CLP;PUBLICADO;DISPONIBLE;52.000.000;I MUNICIPALIDAD DE PADRE LAS CASAS
2767-23-LE24;RETIRO TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIG;LE;Adjudicada a uno o varios proveedores;17/04/2024 10:21:03;La Ilustre Municipalidad de La Cisterna, a través de su Departamento de Salud requiere realizar la contratación del Servicio de Retiro, Transporte y Eliminación de Residuos Peligrosos y Residuos Especiales generados en los Centros de Salud comunales: CESFAM SANTA ANSELMA, CESFAM EDUARDO FREI MONTALVA, CECOSF EDUARDO FREI MONTALVA y DEPARTAMENTO DE SALUD, a través de un prestador de servicio acreditado para tales funciones.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE LA CISTERNA
5761-4-LE24;Retiro y disposición final Residuos peligrosos;LE;Adjudicada a uno o varios proveedores;01/07/2024 10:25:00;Se requiere contratar el servicio de retiro, transporte, tratamiento y disposición final de residuos peligrosos para la Facultad de ciencias químicas y farmacéuticas de la universidad de chile.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;UNIVERSIDAD DE CHILE
3946-35-LE23;CONVENIO DE SUMINISTRO SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS Y ESPECIALES PARA EL DEPARTAMENTO DE SALUD MUNICIPAL DE PICHIDEGUA CON PROVISION DE INSUMOS PARA EL RETIRO CORRECTO;LE;Adjudicada a uno o varios proveedores;25/04/2023 11:43:40;El Departamento de Salud de la Municipalidad de Pichidegua llama a propuesta pública para el: “CONVENIO DE SUMINISTRO SERVICIO DE RETIRO DE RESIDUOS (PELIGROSOS Y ESPECIALES), PARA EL DEPARTAMENTO DE SALUD MUNICIPAL DE PICHIDEGUA, CON PROVISION DE INSUMOS PARA EL RETIRO CORRECTO”. Lo anterior en el marco del art. N° 107 del Decreto N° 250, que aprueba reglamento de la Ley N° 19.886, DE BASES SOBRE CONTRATOS ADMINISTRATIVOS DE SUMINISTRO Y PRESTACIÓN DE SERVICIOS. Asimismo, a través de este proceso se busca dar cumplimiento a los decretos N°6 y N°148, referidos a residuos cortopunzantes peligrosos generados por los establecimientos de salud.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE PICHIDEGUA
3134-103-LE25;SERVICIO DE RETIRO TRANSPORTE Y DISPOSICIÓN FINAL;LE;Adjudicada a uno o varios proveedores;27/10/2025 15:59:18;Las presentes bases de licitación, tienen por objeto establecer las normas y procedimientos que regirán la propuesta pública, para efectuar la contratación por parte de la Dirección General del Territorio Marítimo y de Marina Mercante, en adelante la DIRECTEMAR, del servicio de retiro, transporte y disposición final de baterías (residuos peligrosos) y torres de fibra de vidrio, la cual deberá ajustarse a las especificaciones técnicas contenidas en las bases técnicas y anexos;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
3268-28-LE20;400 413 133/2020 RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;28/08/2020 14:45:36;SERVICIOS DE RETIRO, TRANSPORTE Y ENTREGA A LA INSTALACIÓN DE ELIMINACIÓN QUE REALIZARÁ EL TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS LÍQUIDOS Y SÓLIDOS;CLP;PUBLICADO;ESTIMADO;48.000.000;Fuerza Aérea de Chile
3590-5-L121;RETIRO, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS;L1;Adjudicada a uno o varios proveedores;05/04/2021 12:28:27;Adquirir un convenio de suministro para el Servicio de Retiro, transporte y disposición final de residuos Especiales y Residuos Peligrosos que se generen en establecimientos dependientes del Departamento de Salud de la Municipalidad de Yungay, de acuerdo a las presentes Bases Administrativas, Especificaciones Técnicas y anexos de la presente propuesta.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Yungay
1029-35-LE21;suministro servicio de Retiro Residuos Peligrosos;LE;Adjudicada a uno o varios proveedores;20/08/2021 11:14:00;La dirección de Vialidad - Región del Maule, solicita ofertas para contratar el Servicios de retiro, transporte, tratamiento y disposición final de residuos peligrosos a nivel Regional.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1469-481-L121;“MANEJO, RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES, DE LA UNIVERSIDAD DE TALCA”;L1;Adjudicada a uno o varios proveedores;23/12/2021 11:56:32;La presente licitación tiene por objeto la contratación de un servicio de manejo, retiro, transporte, tratamiento y disposición final de residuos peligrosos y especiales en todos los campus de la Universidad de Talca, por un periodo de 6 meses o hasta la total utilización de los recursos asignados, cualquiera de las circunstancias que se verifique primero, según las características que se han definido en las bases técnicas y anexos;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;UNIVERSIDAD DE TALCA
1469-303-L121;“MANEJO, RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES, DE LA UNIVERSIDAD DE TALCA”;L1;Adjudicada a uno o varios proveedores;20/10/2021 17:36:49;La presente licitación tiene por objeto la contratación de un servicio de manejo, retiro, transporte, tratamiento y disposición final de residuos peligrosos y especiales en todos los campus de la Universidad de Talca, por un periodo de 6 meses o hasta la total utilización de los recursos asignados, cualquiera de las circunstancias que se verifique primero, según las características que se han definido en las bases técnicas y anexos.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;UNIVERSIDAD DE TALCA
1057402-287-LE20;RETIRO DE RESIDUOS PELIGROSOS;LE;Adjudicada a uno o varios proveedores;01/12/2020 10:23:11;El propósito de la licitación es la contratación del servicio por el “Retiro de Residuos Peligrosos desde el Hospital”, de acuerdo a lo establecido en las presentes Bases Administrativas y Técnicas, en las circunstancias que el modelo o equivalencia al existente en el Hospital no fue provisto en catálogo electrónico del Convenio Marco.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA
3145-40-LE23;SERVICIO RETIROS RESIDUOS PELIGROSOS DESDE ACOPIO.;LE;Adjudicada a uno o varios proveedores;28/08/2023 12:53:00;210//001//SA 008 GPO ABASTTO SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS DESDE DEPENDENCIAS DE BASE AEREA LOS CONDORES, UBICADA EN SECTOR CHUCUMATA SIN NUMERO, SECTOR AEROPUERTO, CIUDAD DE IQUIQUE, DE ACUERDO A EETT ADJUNTAS, CONSIDERAR COSTO DE FLETE EN VALOR DE LA OFERTA.;CLP;PUBLICADO;DISPONIBLE;6.500.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
1057417-101-LR21;CONVENIO POR SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS PELIGROSOS Y ESPECIALES GENERADOS EN EL C.A.V.R.R. (LDO);LR;Adjudicada a uno o varios proveedores;13/05/2021 14:33:36;con el objetivo de contratar un conjunto de operaciones a las que se deben someter los residuos del establecimiento de atención de salud “REAS” posterior a su generación, lo anterior en contribución a la seguridad y cuidado del medio ambiente.;CLP;PUBLICADO;ESTIMADO;434.350.000;COMPLEJO ASISTENCIAL DR.VICTOR RIOS RUIZ
1057402-360-LP22;SERVICIO DE RETIRO DE RESIDUOS PELIGROSOS;LP;Adjudicada a uno o varios proveedores;29/12/2022 15:30:39;El propósito de la licitación es la contratación del servicio por el “Retiro de Residuos Peligrosos desde el Hospital”, de acuerdo a lo establecido en las presentes Bases Administrativas y Técnicas, en las circunstancias que el modelo o equivalencia al existente en el Hospital no fue provisto en catálogo electrónico del Convenio Marco.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA
